"","tickers","names"
"2740","TAT","TransAtlantic Petroleum, Ltd."
"2741","TRXC","TransEnterix, Inc."
"2742","TMQ","TMQ"
"2743","TPHS","Trinity Place Holdings Inc."
"2744","TRT","Trio-Tech International"
"2745","UFAB","Unique Fabricating, Inc."
"2746","UAMY","United States Antimony Corporation"
"2747","UUU","Universal Security Instruments, Inc."
"2748","URG","UR-Energy Inc."
"2749","UEC","Uranium Energy Corp."
"2750","VGZ","Vista Gold Corp."
"2751","VNRX","VolitionRx Limited"
"2752","VOLT","VOLT"
"2753","EAD","Wells Fargo Advantage Funds - Wells Fargo Income Opportunities Fund"
"2754","ERC","Wells Fargo Advantage Multi-Sector Income Fund"
"2755","ERH","Wells Fargo Advantage Utilities and High Income Fund"
"2756","WRN","Western Copper and Gold Corporation"
"2757","WYY","WidePoint Corporation"
"2758","WTT","Wireless Telecom Group, Inc."
"2759","XTNT","Xtant Medical Holdings, Inc."
"2760","ZDGE","ZDGE"
"2761","ZOM","ZOM"
